name,age,birthday,occupation,hometown,another_category
Aaron Deacon Shaw,27,,Former soldier and Model,"Gold Coast, Queensland",3rd Place
Aaron Francis,26,"September 29, 1996",Luxury events host,"London, England",Dumped
Aaron Owen,26,,Cake Decorator,"Henderson, Nevada",Dumped
Aaron Simpson,26,"March 7, 1997",Footballer,"Devon, England",Dumped
Aaron Waters,25,"September 12, 1997",Model,"Perth, Western Australia",Runner-Up
Abigail Rawlings,29,"February 28, 1994",Tattoo artist,"Bournemouth, England",Dumped
Ada Śmiałkowska,24,,Receptionist,"Pabianice, Poland",Dumped
Adam Boguta,27,"November 19, 1995",DJ,"Warsaw, Poland",Participating
Adam Collard,27,"October 27, 1995",Personal Trainer,"Newcastle, England",Dumped
Adam Farrugia,30,"June 12, 1992",Plasterer,"Gold Coast, Australia",Dumped
Adam Jukes,30,"July 11, 1992",Recruitment Consultant,"Manchester, England",Dumped
Adam Maxted,31,"March 27, 1992",Personal Trainer,"Belfast, Northern Ireland",4th Place
Adne Funderud,23,,Seller,"Mysen, Norway",Dumped
Adrian Podde,,,Project Salesman,"Stockholm, Sweden",Winner
Afia Tonkmor,26,"August 8, 1996",Lounge Host,"London, England",Dumped
Agata Paź,29,,Makeup Artist,"Warsaw, Poland",Participating
Agnieszka Tomczyk,21,,Fashion designer,"Gdańsk, Poland",Participating
Aimee Flores,27,"November 20, 1995",Private Chef,"Los Angeles, California",Dumped
Aisha Campbell,,1998,Nursing student,"Perth, Western Australia",Dumped
Aissata Diallo,28,"May 10, 1994",Model and graduate student,"Bronx, New York",Dumped
Alan Perkins,,,Carpenter,"Sydney, New South Wales",Participating
Alana Morrison,21,"March 27, 1998",Student,"New Haven, Connecticut",Dumped
Alana Paolucci,30,"March 23, 1993",Model,"New York, New York",4th place
Aleksandar Petrovic,28,,Engineer,"Mullheim an der Ruhr, Germany",Dumped
Aleksandr Muzheiko,28,,Influencer,Ukraine,Winner
Aleksandra Basiak,22,,HostessWaitress,"Ełk, Poland",Participating
Alex Beattie,28,"November 6, 1994",Personal trainer,"Newcastle, England",Dumped
Alex Bowen,31,"July 23, 1991",Scaffolder,"Birmingham, England",Runner-Up
Alex George,33,"February 15, 1990",A&E Doctor,"Carmarthen, Wales",Dumped
Alex Miller,33,"February 21, 1990",Structural Glazier,"Essex, England",Dumped
Alexa Macleay,,,Student,"Saint-Lambert, Canada",Dumped
Alexandra Cane,31,"June 9, 1991",Makeup Artist,"Hertfordshire, England",Dumped
Alexandra Mjor,21,,Student,"Asker, Norway",Dumped
Alexandra Stewart,25,"June 4, 1994",Publicist,"Los Angeles, California",Runner-Up
Alexandros Kotsis,,,Model,"Athens, Greece",Participating
Alexandros Lousai,,,Driver,"Athens, Greece",Participating
Alexi Eraclides,26,"May 11, 1996",Butler in the Buff,"Essex, England",Dumped
Ali Esmael,28,,Real Estate Agent,"Oslo, Norway",3rd Place
Alicia Duran Gomez,23,,Dancer,"Aalsmeer, Netherlands",4th Place
Alicja Ostrouch,26,"September 17, 1996",Real Estate Agent,"Gdańsk, Poland",Dumped
Alicja Pieniążek,22,,Client Advisor,"Leeds, England",Dumped
Amber Beckford,24,"May 29, 1998",Nanny,"London, England",Dumped
Amber Davies,26,"October 4, 1996",Dancer,"North Wales, Wales",Winner
Amber Gill,25,"August 4, 1997[1]",Beauty therapist,"Newcastle, England",Winner
Amelia Peters,24,"November 8, 1998",Model and part-time teaching assistant,"London, England",Dumped
Amelia Plummer,27,"February 26, 1996",Model,"Sydney, Australia",Third Place
Amin Elkach,27,,Personal Trainer,"Cologne, Germany",Dumped
Amy Day,27,"December 15, 1995",Performer,"Surrey, England",Dumped
Amy Hart,29,"July 19, 1993",Flight Attendant,"Worthing, England",Walked
Anastasia Sidiropoulou,,,Nutritionist,"Athens, Greece",Participating
Andre Brunelli,30,"August 25, 1992",Model,"Miami, Florida",Dumped
Andrea Contreras,20,,Beauty therapist,"Sundsvall, Sweden",Participating
Andrea Gladso,25,,Store employee,"Trondheim, Norway",Dumped
Andrea-Jane Bunker,30,"December 9, 1992",Hair extensions technician,"Hemel Hempstead, England",Dumped
Andreas Deak,,,Hockey player,"Gothenburg, Sweden",Participating
Andreas Eikanger,26,,Seller,"Vestby, Norway",Dumped
Andrew Le Page,28,"March 8, 1995",Real Estate Agent,"Guernsey, British Isles",4th Place
Andrew Phillips,30,"March 30, 1993",Marketing Manager,"Fort Lauderdale, Florida",Dumped
André Coutinho,,1998,Mental Health Support Worker,"Perth, Western Australia",Dumped
Andy Voyen,23,"May 7, 1999",Realtor,"Minneapolis, Minnesota",Dumped
Angel Ellis-Holley,22,"August 16, 2000",Model,"Brisbane, Queensland",Dumped
Angelina Zaichenko,23,,Dancer,"Warsaw, Poland",Winner
Anna Birgersson,22,"February 22, 1997",Retail Assistant,"Malmö, Sweden",Participating
Anna Iff,24,,Clerk,"Dortmund, Germany",Participating
Anna McEvoy,31,"April 21, 1992",Model,"Melbourne, Victoria",Winner
Anna Vakili,32,"July 9, 1990",Pharmacist,"London, England",Dumped
Anna-Karin Hellborg,29,"June 8, 1990",Makeup Artist,"Göteborg, Sweden",Dumped
Anna-May Robey,20,"November 28, 2002",Payroll administrator,"Swansea, Wales",Dumped
Anna-Maëlle Laprise,,,Model,"Brossard, Canada",Dumped
Anndya Simard,,,Fashion Graduate,"Mascouche, Canada",Dumped
Antigoni Buxton,27,"March 9, 1996",Singer,"London, England",Dumped
Anton Bengtsson,26,,Salesman,"Stockholm, Sweden",Participating
Anton Danyluk,24,"September 6, 1994",Gym owner,"Airdrie, Scotland",Dumped
Anton Morrow,27,"July 17, 1995",,,Dumped
Antony Fagermos,22,,Retail employee,"Drammen, Norway",Dumped
Arabella Chi,32,"March 19, 1991",Model,"London, England",Dumped
Argiris Fragkos,,,Entrepreneur,"Samos, Greece",Participating
Ari Kumar,26,"October 27, 1996",Web content publisher,"Gold Coast, Queensland",Dumped
Arielle Aziane,24,"May 26, 1998",Banking Advisor,"Montreal, Canada",Winner
Arnaud Moisan,,,Fitness Model,"Quebec, Canada",Dumped
